,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,liberal,real one definitely liberal snowflake universe yall living ,2021-01-07,0.278,0.722,0.0,0.4019,0.0,0.5,0.0,0.5,0.0
1,liberal,allowed stay area live ,2021-01-07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,liberal,tell muslim faggot liberal muslim household like deranged permanently mindfucked ,2021-01-07,0.168,0.537,0.295,-0.4404,0.0,0.0,0.0,1.0,0.0
3,liberal,question f texans keep voting guy ,2021-01-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,liberal,power numbers sent fox news plummeting similar effect big tech pe ,2021-01-07,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.2
5,liberal,good thread liberal gonna understand ,2021-01-07,0.42,0.58,0.0,0.4404,0.0,0.0,1.0,0.0,0.0
6,liberal,shes white woman assassination literally color ,2021-01-07,0.0,0.562,0.438,-0.5994,0.0,0.33,0.0,0.33,0.33
7,liberal,never reported people us know facts country believes tha ,2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,liberal,believe shook liberal ,2021-01-07,0.0,0.588,0.412,-0.1027,0.0,0.0,0.0,0.0,0.0
9,liberal,fbi objective courts say wont look evidence isnt anythe ,2021-01-07,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.33
10,liberal,liberal media liberal democrats one sided ,2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,liberal,day liberal media run mouth trump protesters running capital building sh ,2021-01-07,0.0,0.84,0.16,-0.2263,0.0,0.4,0.2,0.2,0.2
12,liberal,opportunity completely censor legitimize bidenyou know ,2021-01-07,0.277,0.396,0.326,-0.1263,0.0,0.5,0.5,0.0,0.0
13,liberal,information watchdog raps privy council office terminating access requests public ,2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,liberal,liberal biased news sandy hudson defrauded uo 10s thousands dollars arent talking ,2021-01-07,0.0,0.84,0.16,-0.2732,0.0,0.0,0.0,0.0,0.0
15,liberal,simply understand impulse many prominent liberal americans sides happening dc ,2021-01-07,0.204,0.796,0.0,0.3182,0.0,0.0,0.0,0.0,0.0
16,liberal,would rofl really going liberal rabbit hole ,2021-01-07,0.381,0.619,0.0,0.5719,0.0,0.5,0.0,0.25,0.25
17,liberal,try coalition liberal coalition politics america liberals already better ,2021-01-07,0.266,0.734,0.0,0.4404,0.0,0.5,0.0,0.0,0.5
18,liberal,liberal person ever alive social media hates conservatives like ha ,2021-01-07,0.457,0.366,0.177,0.5574,0.0,0.33,0.0,0.33,0.33
19,liberal,funny many people still realize magas literally bourgeoisie shopkeepers ,2021-01-07,0.266,0.734,0.0,0.4404,0.0,0.0,0.0,0.0,1.0
